Harga,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Sertifikat,Daya Listrik,Jumlah Lantai,Kondisi Properti,Carport,Kamar Tidur Pembantu,Kamar Mandi Pembantu,kec_Balaraja,kec_Cikupa,kec_Cisauk,kec_Curug,kec_Jatiuwung,kec_Jayanti,kec_Kadu,kec_Kelapa Dua,kec_Kosambi,kec_Kresek,kec_Legok,kec_Mauk,kec_Pagedangan,kec_Panongan,kec_Pasar Kemis,kec_Rajeg,kec_Sepatan,kec_Sindang Jaya,kec_Solear,kec_Teluk Naga,kec_Tigaraksa
20.818576017659826,3,2,4.5217885770490405,4.330733340286331,3.0,3.0,2,1.0,2,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20.818576017659826,1,2,3.8918202981106265,4.110873864173311,3.0,5.0,2,1.0,1,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
20.818576017659826,2,1,4.787491742782046,4.290459441148391,3.0,3.0,1,1.0,1,1,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20.818576017659826,2,2,3.8918202981106265,4.02535169073515,2.0,3.0,2,1.0,1,1,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
20.818576017659826,2,2,3.8918202981106265,3.8918202981106265,2.0,3.0,2,1.0,1,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
20.818576017659826,3,4,4.382026634673881,4.51085950651685,3.0,3.0,2,1.0,1,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
20.818576017659826,3,4,4.219507705176107,4.3694478524670215,3.0,3.0,2,2.0,1,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
20.818576017659826,3,2,4.406719247264253,4.02535169073515,3.0,3.0,2,1.0,1,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
20.818576017659826,3,3,4.219507705176107,4.3694478524670215,3.0,3.0,2,1.0,2,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
20.818576017659826,3,2,4.919980925828125,4.543294782270004,3.0,3.0,2,1.0,1,1,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20.818576017659826,3,2,4.330733340286331,4.418840607796598,2.0,3.0,2,1.0,1,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
20.818576017659826,4,2,4.919980925828125,5.017279836814924,3.0,3.0,2,1.0,1,1,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20.818576017659826,2,1,4.51085950651685,4.248495242049359,3.0,3.0,2,1.0,1,1,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20.818576017659826,4,3,4.007333185232471,4.8283137373023015,3.0,3.0,3,1.0,1,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20.818576017659826,2,1,4.51085950651685,3.784189633918261,2.0,3.0,2,1.0,1,1,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20.818576017659826,4,3,4.6443908991413725,4.624972813284271,3.0,6.0,2,2.0,1,1,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20.818576017659826,2,1,4.574710978503383,4.204692619390966,3.0,3.0,1,1.0,1,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20.818576017659826,3,3,5.484796933490655,5.41610040220442,3.0,3.0,2,0.0,2,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
20.818576017659826,2,2,3.8918202981106265,4.1588830833596715,2.0,3.0,2,1.0,1,1,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
20.818576017659826,2,1,4.110873864173311,3.367295829986474,0.0,3.0,1,1.0,1,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20.827625853171554,2,1,4.51085950651685,4.110873864173311,3.0,2.0,1,1.0,1,1,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
20.83659452314627,2,2,4.795790545596741,4.394449154672439,3.0,3.0,1,1.0,1,1,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
20.854294100230007,2,2,4.110873864173311,4.204692619390966,1.0,3.0,2,2.0,1,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20.863027780191135,2,2,4.110873864173311,4.394449154672439,2.0,3.0,2,1.0,1,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
20.863027780191135,2,2,3.828641396489095,3.970291913552122,2.0,3.0,2,2.0,1,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
20.863027780191135,2,2,3.8918202981106265,4.2626798770413155,3.0,3.0,2,1.0,1,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
20.863027780191135,3,2,3.8918202981106265,4.02535169073515,2.0,7.0,2,1.0,1,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
20.863027780191135,3,3,3.713572066704308,3.9318256327243257,3.0,3.0,2,1.0,1,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
20.863027780191135,3,2,4.5217885770490405,4.51085950651685,3.0,3.0,2,1.0,1,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20.863027780191135,2,2,3.713572066704308,3.9318256327243257,0.0,3.0,2,1.0,1,1,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
20.863027780191135,2,2,4.51085950651685,4.553876891600541,3.0,7.0,2,1.0,1,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20.863027780191135,4,3,4.007333185232471,4.8283137373023015,2.0,5.0,3,1.0,2,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20.87168584292675,3,3,4.290459441148391,4.51085950651685,1.0,3.0,2,1.0,1,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20.880269586610776,2,2,3.8918202981106265,4.2626798770413155,3.0,3.0,2,1.0,1,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
20.888780276271444,2,1,4.442651256490317,4.2626798770413155,3.0,3.0,1,1.0,1,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
20.897219144910185,2,1,4.442651256490317,4.2626798770413155,3.0,3.0,1,1.0,2,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
20.897219144910185,3,3,4.382026634673881,4.48863636973214,3.0,3.0,2,2.0,2,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
20.897219144910185,3,1,4.663439094112067,3.8918202981106265,2.0,2.0,2,2.0,1,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20.9055873945737,2,1,4.59511985013459,4.2626798770413155,3.0,3.0,1,1.0,2,0,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
20.9055873945737,2,2,3.8918202981106265,4.2626798770413155,3.0,3.0,2,1.0,1,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
